timestamp,title,url,author,tags,thumbnail,name,claimed,mapClass
8/28/2015 12:41:19,1918 flu pandemic,https://en.wikipedia.org/wiki/1918_flu_pandemic,1918 flu pandemic,virus; influenza; pandemic; no map,,,,flupandemic
8/22/2015 15:27:31,1949 Dutch Motorcycle Grand Prix,https://en.wikipedia.org/wiki/1949_Dutch_TT,1949 Dutch TT,dutch; track; europe; motorcycle,https://upload.wikimedia.org/wikipedia/commons/e/ee/Assen_van_drenthe_-_old_circuit_map.jpg,,,DutchMotorcycleGrandPrix
8/28/2015 12:12:30,6th Airborne Division June 1944,https://en.wikipedia.org/wiki/6th_Airborne_Division_(United_Kingdom),6th Airborne Division (United Kingdom),D-Day; Normandy; WWII; Military,https://upload.wikimedia.org/wikipedia/commons/f/f4/6th_Airborne_Division_June_1944.png,,,6thAirborneDivisionJune1944
8/22/2015 19:46:04,A map of Dalarna,https://en.wikipedia.org/wiki/Dalecarlian_Rebellions,Dalecarlian Rebellions,Dalecarlian; Rebellions; sweden; europe,https://upload.wikimedia.org/wikipedia/commons/d/d7/Sverigekarta-Landskap_Dalarna.svg,,,AmapofDalarna
8/28/2015 17:07:40,Aerial view of the park with sections of the park labeled,https://en.wikipedia.org/wiki/Joseph_Knowland_State_Arboretum_and_Park,Joseph Knowland State Arboretum and Park,Oakland Zoo; Parks in Oakland; City of Oakland; Knowland Park,https://upload.wikimedia.org/wikipedia/commons/a/a0/Aerial_View_of_Knowland_Park_in_Oakland_California.jpg,Dylan Moriarty,Yes,Aerialviewoftheparkwithsectionsoftheparklabeled
8/22/2015 13:51:12,Allah Akbar Garrison,https://en.wikipedia.org/wiki/Allah_Akbar_Garrison,Allah Akbar Garrison,allah akbar garrison; iran; middle east; no map,,,,AllahAkbarGarrison
8/22/2015 19:59:06,Area codes in California,https://en.wikipedia.org/wiki/Area_code_831,Area Code 831,area code; california; phone; telecommunication; usa,https://40.media.tumblr.com/c7dd6b6aaa236cb1c3d74de1e0a0f12d/tumblr_nsqlwyRp4s1uvxx7mo1_500.png,Rachel Stevenson,Yes,AreacodesinCalifornia
8/28/2015 21:01:07,AT&T Park,https://en.wikipedia.org/wiki/AT%26T_Park,AT&T Park,AT&T Park; Sports; no map,,Dale Kunce ,Yes,AT&TPark
8/22/2015 13:40:27,Awash River,https://en.wikipedia.org/wiki/Awash_River#Overview,Awash River,awash; river; africa,https://upload.wikimedia.org/wikipedia/commons/9/94/Awashrivermap.png,,,AwashRiver
8/22/2015 19:23:30,Balleny Seamounts,https://en.wikipedia.org/wiki/Balleny_Seamounts,Balleny Seamounts,seamounts; ballney islands; antartica; world; no map,,,,BallenySeamounts
